IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
18.133.121.236,2087,0,false,ORD,North America,Chicago,168,0.00
18.133.121.236,2052,0,false,ORD,North America,Chicago,168,0.00
18.171.222.167,2082,0,false,ORD,North America,Chicago,168,0.00
54.184.28.95,8443,0,false,ORD,North America,Chicago,197,0.00
15.157.67.79,2053,0,false,ORD,North America,Chicago,234,0.00
18.133.121.236,8880,0,false,ORD,North America,Chicago,168,0.00
18.133.121.236,80,0,false,ORD,North America,Chicago,167,0.00
18.133.121.236,2095,0,false,ORD,North America,Chicago,170,0.00
18.133.121.236,2096,0,false,ORD,North America,Chicago,166,0.00
54.184.28.95,2095,0,false,ORD,North America,Chicago,192,0.00
15.156.194.92,8443,0,false,ORD,North America,Chicago,237,0.00
3.96.124.131,2087,0,false,ORD,North America,Chicago,250,0.00
18.133.121.236,2082,0,false,ORD,North America,Chicago,168,0.00
15.156.194.92,2087,0,false,ORD,North America,Chicago,241,0.00
18.117.149.140,80,0,false,ORD,North America,Chicago,218,0.00
15.157.67.79,2086,0,false,ORD,North America,Chicago,237,0.00
18.133.121.236,8443,0,false,ORD,North America,Chicago,165,0.00
18.117.149.140,2086,0,false,ORD,North America,Chicago,217,0.00
18.117.149.140,8443,0,false,ORD,North America,Chicago,221,0.00
18.117.149.140,2052,0,false,ORD,North America,Chicago,217,0.00
18.171.227.106,8443,0,false,ORD,North America,Chicago,165,0.00
3.96.124.131,2083,0,false,ORD,North America,Chicago,239,0.00
18.216.58.94,8880,0,false,ORD,North America,Chicago,217,0.00
18.171.227.106,2053,0,false,ORD,North America,Chicago,168,0.00
18.116.70.130,80,0,false,ORD,North America,Chicago,218,0.00
18.171.227.106,2095,0,false,ORD,North America,Chicago,168,0.00
15.157.67.79,8880,0,false,ORD,North America,Chicago,236,0.00
18.171.227.106,2096,0,false,ORD,North America,Chicago,168,0.00
18.171.227.106,8880,0,false,ORD,North America,Chicago,168,0.00
18.171.227.106,2082,0,false,ORD,North America,Chicago,169,0.00
18.171.227.106,2087,0,false,ORD,North America,Chicago,171,0.00
18.171.227.106,443,0,false,ORD,North America,Chicago,168,0.00
18.171.227.106,2052,0,false,ORD,North America,Chicago,166,0.00
18.219.198.100,8443,0,false,ORD,North America,Chicago,226,0.00
18.219.198.100,80,0,false,ORD,North America,Chicago,224,0.00
18.219.198.100,2053,0,false,ORD,North America,Chicago,220,0.00
18.219.198.100,2087,0,false,ORD,North America,Chicago,220,0.00
18.219.198.100,2095,0,false,ORD,North America,Chicago,226,0.00
18.219.198.100,2082,0,false,ORD,North America,Chicago,234,0.00
18.219.198.100,443,0,false,ORD,North America,Chicago,225,0.00
13.58.142.1,80,0,false,ORD,North America,Chicago,227,0.00
18.219.198.100,8080,0,false,ORD,North America,Chicago,224,0.00
18.219.198.100,2086,0,false,ORD,North America,Chicago,233,0.00
52.74.70.59,80,0,false,ORD,North America,Chicago,2,0.00
3.142.142.181,2082,0,false,ORD,North America,Chicago,219,0.00
3.142.142.181,2095,0,false,ORD,North America,Chicago,239,0.00
3.142.142.181,2096,0,false,ORD,North America,Chicago,234,0.00
3.142.142.181,2052,0,false,ORD,North America,Chicago,231,0.00
3.142.142.181,8880,0,false,ORD,North America,Chicago,218,0.00
3.142.142.181,2087,0,false,ORD,North America,Chicago,220,0.00
3.142.142.181,2083,0,false,ORD,North America,Chicago,219,0.00
3.142.142.181,443,0,false,ORD,North America,Chicago,230,0.00
13.48.136.135,80,0,false,ARN,Europe,Stockholm,197,0.00
3.142.142.181,80,0,false,ORD,North America,Chicago,227,0.00
3.142.142.181,8080,0,false,ORD,North America,Chicago,223,0.00
3.142.142.181,8443,0,false,ORD,North America,Chicago,227,0.00
13.51.14.7,80,0,false,ARN,Europe,Stockholm,197,0.00
16.16.162.196,80,0,false,ARN,Europe,Stockholm,195,0.00
13.50.105.250,80,0,false,ARN,Europe,Stockholm,195,0.00
3.142.142.181,2086,0,false,ORD,North America,Chicago,218,0.00
13.51.105.208,80,0,false,ARN,Europe,Stockholm,199,0.00
18.117.102.214,80,0,false,ORD,North America,Chicago,232,0.00
13.244.104.215,2082,0,false,ORD,North America,Chicago,316,0.00
13.245.164.198,2053,0,false,ORD,North America,Chicago,317,0.00
13.244.104.215,8880,0,false,ORD,North America,Chicago,318,0.00
13.245.164.198,2082,0,false,ORD,North America,Chicago,316,0.00
13.245.28.205,2087,0,false,ORD,North America,Chicago,310,0.00
13.246.221.196,2086,0,false,ORD,North America,Chicago,315,0.00
13.246.240.4,2052,0,false,ORD,North America,Chicago,316,0.00
13.246.198.197,8880,0,false,ORD,North America,Chicago,313,0.00
13.245.164.198,8080,0,false,ORD,North America,Chicago,314,0.00
13.244.112.43,8880,0,false,ORD,North America,Chicago,318,0.00
13.246.226.117,8080,0,false,ORD,North America,Chicago,326,0.00
13.244.64.177,2096,0,false,ORD,North America,Chicago,325,0.00
13.245.171.96,8080,0,false,ORD,North America,Chicago,312,0.00
13.246.201.148,8880,0,false,ORD,North America,Chicago,314,0.00
13.246.38.255,2095,0,false,ORD,North America,Chicago,320,0.00
13.244.112.103,2086,0,false,ORD,North America,Chicago,317,0.00
13.246.226.117,80,0,false,ORD,North America,Chicago,308,0.00
13.245.87.217,8443,0,false,ORD,North America,Chicago,315,0.00
13.245.207.52,8080,0,false,ORD,North America,Chicago,318,0.00
13.246.201.148,2086,0,false,ORD,North America,Chicago,320,0.00
13.244.104.215,2053,0,false,ORD,North America,Chicago,320,0.00
13.245.171.96,2095,0,false,ORD,North America,Chicago,311,0.00
13.245.28.254,8443,0,false,ORD,North America,Chicago,317,0.00
13.246.226.175,2096,0,false,ORD,North America,Chicago,316,0.00
13.246.38.255,8443,0,false,ORD,North America,Chicago,308,0.00
13.246.15.232,2086,0,false,ORD,North America,Chicago,315,0.00
13.246.240.4,2083,0,false,ORD,North America,Chicago,321,0.00
13.245.28.254,2083,0,false,ORD,North America,Chicago,315,0.00
13.244.98.139,2087,0,false,ORD,North America,Chicago,309,0.00
13.246.15.232,2096,0,false,ORD,North America,Chicago,318,0.00
13.246.201.148,2096,0,false,ORD,North America,Chicago,320,0.00
13.246.35.173,2052,0,false,ORD,North America,Chicago,312,0.00
13.244.104.215,8443,0,false,ORD,North America,Chicago,313,0.00
13.244.95.226,443,0,false,ORD,North America,Chicago,315,0.00
13.246.221.196,2087,0,false,ORD,North America,Chicago,320,0.00
13.245.164.198,2087,0,false,ORD,North America,Chicago,321,0.00
13.244.112.103,2096,0,false,ORD,North America,Chicago,314,0.00
13.246.240.4,80,0,false,ORD,North America,Chicago,317,0.00
13.245.82.138,2052,0,false,ORD,North America,Chicago,322,0.00
13.244.112.103,8443,0,false,ORD,North America,Chicago,327,0.00
13.244.98.139,2086,0,false,ORD,North America,Chicago,316,0.00
13.246.201.148,2095,0,false,ORD,North America,Chicago,316,0.00
13.245.164.198,8443,0,false,ORD,North America,Chicago,316,0.00
13.246.12.102,8880,0,false,ORD,North America,Chicago,312,0.00
13.246.38.255,2082,0,false,ORD,North America,Chicago,308,0.00
13.245.28.205,2053,0,false,ORD,North America,Chicago,321,0.00
13.245.207.52,8880,0,false,ORD,North America,Chicago,320,0.00
13.245.8.218,2096,0,false,ORD,North America,Chicago,312,0.00
13.246.12.102,2082,0,false,ORD,North America,Chicago,313,0.00
13.246.240.4,2053,0,false,ORD,North America,Chicago,312,0.00
13.245.164.198,80,0,false,ORD,North America,Chicago,312,0.00
13.247.67.27,80,0,false,ORD,North America,Chicago,312,0.00
13.245.28.205,2082,0,false,ORD,North America,Chicago,316,0.00
13.247.61.12,2086,0,false,ORD,North America,Chicago,317,0.00
13.244.59.160,2095,0,false,ORD,North America,Chicago,315,0.00
13.246.226.117,2052,0,false,ORD,North America,Chicago,313,0.00
13.246.221.196,2082,0,false,ORD,North America,Chicago,316,0.00
13.246.15.232,2082,0,false,ORD,North America,Chicago,322,0.00
13.244.104.215,2095,0,false,ORD,North America,Chicago,313,0.00
13.244.112.103,2082,0,false,ORD,North America,Chicago,319,0.00
13.246.38.255,2096,0,false,ORD,North America,Chicago,317,0.00
13.245.171.96,2086,0,false,ORD,North America,Chicago,321,0.00
13.246.221.196,2083,0,false,ORD,North America,Chicago,312,0.00
13.246.226.175,8080,0,false,ORD,North America,Chicago,313,0.00
13.246.221.196,8443,0,false,ORD,North America,Chicago,310,0.00
13.244.104.215,2096,0,false,ORD,North America,Chicago,316,0.00
13.244.61.161,2086,0,false,ORD,North America,Chicago,312,0.00
13.245.82.138,8880,0,false,ORD,North America,Chicago,316,0.00
13.246.226.117,8443,0,false,ORD,North America,Chicago,318,0.00
13.245.82.138,2087,0,false,ORD,North America,Chicago,319,0.00
13.246.184.110,80,0,false,ORD,North America,Chicago,317,0.00
13.245.8.218,8443,0,false,ORD,North America,Chicago,316,0.00
13.244.104.215,8080,0,false,ORD,North America,Chicago,316,0.00
51.20.187.148,8443,0,false,ORD,North America,Chicago,206,0.00
13.244.98.139,8880,0,false,ORD,North America,Chicago,317,0.00
13.245.124.83,80,0,false,ORD,North America,Chicago,313,0.00
13.244.98.139,80,0,false,ORD,North America,Chicago,314,0.00
13.245.82.138,2095,0,false,ORD,North America,Chicago,313,0.00
13.245.28.205,8080,0,false,ORD,North America,Chicago,310,0.00
13.245.171.96,8443,0,false,ORD,North America,Chicago,327,0.00
13.247.14.165,80,0,false,ORD,North America,Chicago,317,0.00
